,Accuracy,Precision,Recall,F1-score,ROC-AUC
FedAvg,0.66338,0.7515251817237798,0.7162651161352179,0.7334716305879745,0.7105532137461872
FedAdam,0.67074,0.7547024459138474,0.7271827544613862,0.740687069793816,0.7159430095746979
FedProx,0.59258,0.7066546886877203,0.6325426035319952,0.6675479396164831,0.6233414838743534
FedOpt,0.66762,0.7595296293849508,0.7111619707419664,0.7345504496302331,0.7148730078394336
