,Accuracy,Precision,Recall,F1-score,ROC-AUC
FedAvg,0.66372,0.7623136472735877,0.6974298704110352,0.7284297574054334,0.7124131534786344
FedAdam,0.6678,0.7637113817047398,0.7041412798070084,0.7327175592173018,0.7163527669120032
FedProx,0.582,0.7160839160839161,0.5859029474530665,0.6444852691025379,0.6252146976616451
FedOpt,0.66652,0.7591091107654632,0.7094299941236507,0.7334292565947242,0.7146096379868777
