,Accuracy,Precision,Recall,F1-score,ROC-AUC
FedAvg,0.66608,0.7482930547175204,0.7287600903102094,0.7383974178183071,0.7096807665349063
FedAdam,0.66706,0.7628527381191769,0.7039866390375159,0.732238503482331,0.7178474718788338
FedProx,0.58464,0.6982820697459109,0.6298209259889277,0.6622869780148303,0.6071013381926125
FedOpt,0.66972,0.7589797321633215,0.7169146073670862,0.7373477112956071,0.7183940548297961
